"","motif","gene","source"
"MXI1.e1","MXI1.e1","MXI1","MXI1_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab-bHLH_r1:MDscan#3#Intergenic"
"MXI1.e2","MXI1.e2","MXI1","EBOX_1"
"M00234","M00234","MYB","Badis09"
"M10724","M10724","MYB","HOMER"
"Myb.h0","Myb.h0","MYB","PB0045.1_Myb_1/Jaspar"
"Myb.h1","Myb.h1","MYB","PB0149.1_Myb_2/Jaspar"
"M12173","M12173","MYB","Transfac"
"MA0100.4","MA0100.4","MYB","JASPAR"
"MYB.h0","MYB.h0","MYB","MYB(HTH)/ERMYB-Myb-ChIPSeq(GSE22095)/Homer"
"MYB.h1","MYB.h1","MYB","MYB/MA0100.3/Jaspar"
"MYB.e0","MYB.e0","MYB","c-Myb_transfac_M00004"
"MYB.e2","MYB.e2","MYB","MYB_transfac_M00773"
"MYB.e4","MYB.e4","MYB","Myb_jaspar_MA0100.1"
"MYB.e5","MYB.e5","MYB","Myb_bulyk_sc09-primary"
"M00235","M00235","MYBL1","Badis09"
"Mybl1.h0","Mybl1.h0","MYBL1","PB0046.1_Mybl1_1/Jaspar"
"Mybl1.h1","Mybl1.h1","MYBL1","PB0150.1_Mybl1_2/Jaspar"
"M03553","M03553","MYBL1","Jolma2013"
"M03554","M03554","MYBL1","Jolma2013"
"M03555","M03555","MYBL1","Jolma2013"
"M03556","M03556","MYBL1","Jolma2013"
"MA0776.1","MA0776.1","MYBL1","JASPAR"
"MYBL1.h0","MYBL1.h0","MYBL1","MYBL1/MA0776.1/Jaspar"
"MYBL1.e0","MYBL1.e0","MYBL1","Mybl1_bulyk_sc09-primary"
"MYBL1.e1","MYBL1.e1","MYBL1","MYBL1_jolma_DBD_M177"
"MYBL1.e2","MYBL1.e2","MYBL1","MYBL1_jolma_DBD_M178"
"MYBL1.e3","MYBL1.e3","MYBL1","MYBL1_jolma_DBD_M179"
"MYBL1.e4","MYBL1.e4","MYBL1","MYBL1_jolma_DBD_M180"
"M03549","M03549","MYBL2","Jolma2013"
"M03550","M03550","MYBL2","Jolma2013"
"M03551","M03551","MYBL2","Jolma2013"
"M03552","M03552","MYBL2","Jolma2013"
"M05765","M05765","MYBL2","Yin2017"
"M05766","M05766","MYBL2","Yin2017"
"M10723","M10723","MYBL2","HOMER"
"MA0777.1","MA0777.1","MYBL2","JASPAR"
"MYBL2.h0","MYBL2.h0","MYBL2","BMYB(HTH)/Hela-BMYB-ChIP-Seq(GSE27030)/Homer"
"MYBL2.h1","MYBL2.h1","MYBL2","MYBL2/MA0777.1/Jaspar"
"MYBL2.e0","MYBL2.e0","MYBL2","MYBL2_jolma_DBD_M181"
"MYBL2.e1","MYBL2.e1","MYBL2","MYBL2_jolma_DBD_M182"
"MYBL2.e2","MYBL2.e2","MYBL2","MYBL2_jolma_DBD_M183"
"MYBL2.e3","MYBL2.e3","MYBL2","MYBL2_jolma_DBD_M184"
"M10590","M10590","MYC","HOMER"
"Myc.h0","Myc.h0","MYC","c-Myc(bHLH)/LNCAP-cMyc-ChIP-Seq(Unpublished)/Homer"
"Myc.h1","Myc.h1","MYC","c-Myc(bHLH)/mES-cMyc-ChIP-Seq(GSE11431)/Homer"
"M08257","M08257","MYC","ENCODE"
"M08258","M08258","MYC","ENCODE"
"M08259","M08259","MYC","ENCODE"
"M08260","M08260","MYC","ENCODE"
"M08261","M08261","MYC","ENCODE"
"M08262","M08262","MYC","ENCODE"
"M10580","M10580","MYC","HOMER"
"MA0147.4","MA0147.4","MYC","JASPAR"
"MYC.h0","MYC.h0","MYC","MYC/MA0147.3/Jaspar"
"MYC.e0","MYC.e0","MYC","USF2_K562_encode-Snyder_seq_hsa_r1:MDscan#1#Intergenic"
"MYC.e1","MYC.e1","MYC","MYC_K562_encode-Crawford_seq_hsa_r1:MEME#2#Intergenic"
"MYC.e2","MYC.e2","MYC","MAX_HeLa-S3_encode-Snyder_seq_hsa_r1:MDscan#1#Intergenic"
"MYC.e3","MYC.e3","MYC","MAX_H1-hESC_encode-Snyder_seq_hsa_r1:MDscan#2#Intergenic"
"MYC.e4","MYC.e4","MYC","MYC_K562_encode-Snyder_seq_hsa_r1:MDscan#2#Intergenic"
"MYC.e5","MYC.e5","MYC","USF2_GM12878_encode-Snyder_seq_hsa_IgG-mus_r1:Trawler#1#Intergenic"
"MYC.e6","MYC.e6","MYC","MAX_GM12878_encode-Snyder_seq_hsa_r1:Trawler#1#Intergenic"
"MYC.e7","MYC.e7","MYC","MYC_HUVEC_encode-Crawford_seq_hsa_r1:Trawler#3#Intergenic"
"MYC.e8","MYC.e8","MYC","MAX_HUVEC_encode-Snyder_seq_hsa_r1:AligCE#1#Intergenic"
"MYC.e9","MYC.e9","MYC","MYC_HUVEC_encode-Crawford_seq_hsa_r1:AligCE#1#Intergenic"
"MYC.e10","MYC.e10","MYC","MYC::MAX_1"
"MYC.e11","MYC.e11","MYC","MAX_1"
"MYC.e12","MYC.e12","MYC","USF_1"
"MYC.e13","MYC.e13","MYC","USF_2"
"MYC.e14","MYC.e14","MYC","MYC::MAX_2"
"MYC.e15","MYC.e15","MYC","USF_3"
"MYC.e16","MYC.e16","MYC","USF_4"
"MYC.e17","MYC.e17","MYC","MYC::MAX_3"
"MYC.e18","MYC.e18","MYC","MYC::MAX_4"
"MYC.e19","MYC.e19","MYC","USF2_1"
"MYC.e20","MYC.e20","MYC","USF_5"
"MYC.e21","MYC.e21","MYC","MYC_1"
"MYC.e22","MYC.e22","MYC","MYC_2"
"MYC.e23","MYC.e23","MYC","MYC_3"
"MYC.e24","MYC.e24","MYC","MAX_2"
"MYC.e25","MYC.e25","MYC","MYC::MAX_5"
"MYC.e26","MYC.e26","MYC","USF1_1"
"MYC.e27","MYC.e27","MYC","MYC_4"
"MYC.e28","MYC.e28","MYC","MAX_3"
"MYC.e29","MYC.e29","MYC","MAX_4"
"MYC.e30","MYC.e30","MYC","MAX_5"
"MYC.e31","MYC.e31","MYC","USF1_2"
"M10599","M10599","MYCN","HOMER"
"Mycn.h0","Mycn.h0","MYCN","n-Myc(bHLH)/mES-nMyc-ChIP-Seq(GSE11431)/Homer"
"M04332","M04332","MYCN","Yin2017"
"M10969","M10969","MYCN","Transfac"
"MA0104.5","MA0104.5","MYCN","JASPAR"
"MYCN.h0","MYCN.h0","MYCN","MYCN/MA0104.4/Jaspar"
"MYCN.e0","MYCN.e0","MYCN","N-Myc_transfac_M00055"
"MYCN.e1","MYCN.e1","MYCN","Mycn_jaspar_MA0104.2"
"MYEF2.e0","MYEF2.e0","MYEF2","MYEF2_1"
"MYEF2.e1","MYEF2.e1","MYEF2","MYEF2_2"
"MYEF2.e2","MYEF2.e2","MYEF2","MYEF2_3"
"MYEF2.e3","MYEF2.e3","MYEF2","MYEF2_4"
"MYEF2.e4","MYEF2.e4","MYEF2","MYEF2_5"
"MYEF2.e5","MYEF2.e5","MYEF2","MYEF2_6"
"MYEF2.e6","MYEF2.e6","MYEF2","MYEF2_7"
"M10586","M10586","MYF5","HOMER"
"Myf5.h0","Myf5.h0","MYF5","Myf5(bHLH)/GM-Myf5-ChIP-Seq(GSE24852)/Homer"
"MA1641.2","MA1641.2","MYF5","JASPAR"
"MYF5.h0","MYF5.h0","MYF5","MYF5/MA1641.1/Jaspar"
"M01824","M01824","MYF6","Zoo_01"
"Myf6.h0","Myf6.h0","MYF6","PB0047.1_Myf6_1/Jaspar"
"M02984","M02984","MYF6","Jolma2013"
"M04288","M04288","MYF6","Yin2017"
"M04289","M04289","MYF6","Yin2017"
"M04290","M04290","MYF6","Yin2017"
"M04291","M04291","MYF6","Yin2017"
"M06114","M06114","MYF6","CodeBook"
"M06218","M06218","MYF6","Isakova2017"
"MA0667.1","MA0667.1","MYF6","JASPAR"
"MYF6.h0","MYF6.h0","MYF6","MYF6/MA0667.1/Jaspar"
"MYF6.e0","MYF6.e0","MYF6","Myf6_bulyk_sc09-primary"
"MYF6.e1","MYF6.e1","MYF6","MYF6_jolma_full_M330"
"M09418","M09418","MYNN","Schmitges2016"
"MYNN.h0","MYNN.h0","MYNN","MYNN(Zf)/HEK293-MYNN.eGFP-ChIP-Seq(Encode)/Homer"
"MyoD1.h0","MyoD1.h0","MYOD1","MyoD(bHLH)/Myotube-MyoD-ChIP-Seq(GSE21614)/Homer"
"M04320","M04320","MYOD1","Yin2017"
"M04321","M04321","MYOD1","Yin2017"
"M04322","M04322","MYOD1","Yin2017"
"M04323","M04323","MYOD1","Yin2017"
"M04324","M04324","MYOD1","Yin2017"
"M04325","M04325","MYOD1","Yin2017"
"M04326","M04326","MYOD1","Yin2017"
"M04327","M04327","MYOD1","Yin2017"
"M10961","M10961","MYOD1","Transfac"
"M10963","M10963","MYOD1","Transfac"
"MA0499.3","MA0499.3","MYOD1","JASPAR"
"MYOD1.h0","MYOD1.h0","MYOD1","MYOD1/MA0499.2/Jaspar"
"MYOD1.e0","MYOD1.e0","MYOD1","MyoD_transfac_M00001"
"MYOD1.e1","MYOD1.e1","MYOD1","MyoD_transfac_M00184"
"MYOD1.e2","MYOD1.e2","MYOD1","MyoD_transfac_M00929"
"M10592","M10592","MYOG","HOMER"
"MyoG.h0","MyoG.h0","MYOG","MyoG(bHLH)/C2C12-MyoG-ChIP-Seq(GSE36024)/Homer"
"M04302","M04302","MYOG","Yin2017"
"M04303","M04303","MYOG","Yin2017"
"M04304","M04304","MYOG","Yin2017"
"M04305","M04305","MYOG","Yin2017"
"M04306","M04306","MYOG","Yin2017"
"M04307","M04307","MYOG","Yin2017"
"M04308","M04308","MYOG","Yin2017"
"M04309","M04309","MYOG","Yin2017"
"MA0500.3","MA0500.3","MYOG","JASPAR"
"MYOG.h0","MYOG.h0","MYOG","MYOG/MA0500.2/Jaspar"
"MYOG.e0","MYOG.e0","MYOG","myogenin_transfac_M00712"
"M00879","M00879","MYPOP","DREAM_contest"
"M02467","M02467","MYRF","Zoo_01"
"M08240","M08240","MYRFL","CodeBook"
"M08239","M08239","MYSM1","CodeBook"
"M00843","M00843","MZF1","DREAM_contest"
"M00844","M00844","MZF1","DREAM_contest"
"M09029","M09029","MZF1","Najafabadi2015b"
"M09421","M09421","MZF1","Schmitges2016"
"M11256","M11256","MZF1","Transfac"
"M11257","M11257","MZF1","Transfac"
"MA0056.3","MA0056.3","MZF1","JASPAR"
"MZF1.h0","MZF1.h0","MZF1","MZF1/MA0056.2/Jaspar"
"MZF1.h1","MZF1.h1","MZF1","MZF1(var.2)/MA0057.1/Jaspar"
"MZF1.e0","MZF1.e0","MZF1","MZF1_transfac_M00083"
"MZF1.e1","MZF1.e1","MZF1","MZF1_transfac_M00084"
"MZF1.e2","MZF1.e2","MZF1","MZF1:1-4_jaspar_MA0056.1"
"MZF1.e3","MZF1.e3","MZF1","MZF1:5-13_jaspar_MA0057.1"
"MA2339.1","MA2339.1","NANOG","JASPAR"
"Nanog.h0","Nanog.h0","NANOG","Nanog(Homeobox)/mES-Nanog-ChIP-Seq(GSE11724)/Homer"
"NANOG.e0","NANOG.e0","NANOG","NOG_H1-hESC_encode-Myers_seq_hsa_v041610.2-SC-33759_r1:MDscan#3#Intergenic"
"NANOG.e1","NANOG.e1","NANOG","NOG_H1-hESC_encode-Myers_seq_hsa_v041610.2-SC-33759_r1:MEME#2#Intergenic"
"NANOG.e2","NANOG.e2","NANOG","NOG_H1-hESC_encode-Myers_seq_hsa_v041610.2-SC-33759_r1:MEME#1#Intergenic"
"NANOG.e3","NANOG.e3","NANOG","NOG_H1-hESC_encode-Myers_seq_hsa_v041610.2-SC-33759_r1:MDscan#1#Intergenic"
"NANOG.e4","NANOG.e4","NANOG","NOG_1"
"M10688","M10688","NANOGP8","HOMER"
"NeuroD1.h0","NeuroD1.h0","NEUROD1","NeuroD1(bHLH)/Islet-NeuroD1-ChIP-Seq(GSE30298)/Homer"
"MA1109.2","MA1109.2","NEUROD1","JASPAR"
"NEUROD1.h0","NEUROD1.h0","NEUROD1","NEUROD1/MA1109.1/Jaspar"
"MA1993.2","MA1993.2","NEUROD2","JASPAR"
"MA0668.3","MA0668.3","NEUROD2","JASPAR"
"NEUROD2.h0","NEUROD2.h0","NEUROD2","NEUROD2/MA0668.1/Jaspar"
"NEUROD2.e0","NEUROD2.e0","NEUROD2","NEUROD2_jolma_full_M332"
"M02999","M02999","NEUROD4","Jolma2013"
"M04352","M04352","NEUROD4","Yin2017"
"M04353","M04353","NEUROD4","Yin2017"
"M04364","M04364","NEUROD4","Yin2017"
"M04365","M04365","NEUROD4","Yin2017"
"M10597","M10597","NEUROD4","HOMER"
"M01830","M01830","NEUROG1","Zoo_01"
"M04405","M04405","NEUROG1","Yin2017"
"M04406","M04406","NEUROG1","Yin2017"
"M04407","M04407","NEUROG1","Yin2017"
"M04408","M04408","NEUROG1","Yin2017"
"MA0623.2","MA0623.2","NEUROG1","JASPAR"
"NEUROG1.h0","NEUROG1.h0","NEUROG1","NEUROG1/MA0623.2/Jaspar"
"NeuroG2.h0","NeuroG2.h0","NEUROG2","NeuroG2(bHLH)/Fibroblast-NeuroG2-ChIP-Seq(GSE75910)/Homer"
"MA0669.1","MA0669.1","NEUROG2","JASPAR"
"MA1642.2","MA1642.2","NEUROG2","JASPAR"
"NEUROG2.h0","NEUROG2.h0","NEUROG2","NEUROG2/MA0669.1/Jaspar"
"NEUROG2.h1","NEUROG2.h1","NEUROG2","NEUROG2(var.2)/MA1642.1/Jaspar"
"NEUROG2.e0","NEUROG2.e0","NEUROG2","NEUROG2_jolma_DBD_M333"
"NEUROG2.e1","NEUROG2.e1","NEUROG2","NEUROG2_jolma_full_M334"
"M03003","M03003","NEUROG3","Jolma2013"
"M03004","M03004","NEUROG3","Jolma2013"
"M04383","M04383","NEUROG3","Yin2017"
"M04384","M04384","NEUROG3","Yin2017"
"M04385","M04385","NEUROG3","Yin2017"
"M04386","M04386","NEUROG3","Yin2017"
"NF1.h0","NF1.h0","NF1","NF1-halfsite(CTF)/LNCaP-NF1-ChIP-Seq(Unpublished)/Homer"
"NF1.h1","NF1.h1","NF1","NF1(CTF)/LNCAP-NF1-ChIP-Seq(Unpublished)/Homer"
"NF1--FOXA1.h0","NF1--FOXA1.h0","NF1--FOXA1","NF1:FOXA1(CTF,Forkhead)/LNCAP-FOXA1-ChIP-Seq(GSE27824)/Homer"
"NFAT--AP1.h0","NFAT--AP1.h0","NFAT--AP1","NFAT:AP1(RHD,bZIP)/Jurkat-NFATC1-ChIP-Seq(Jolma_et_al.)/Homer"
"MA0606.3","MA0606.3","NFAT5","JASPAR"
"M03651","M03651","NFAT5","Jolma2013"
"M05913","M05913","NFAT5","Yin2017"
"M05914","M05914","NFAT5","Yin2017"
"NFAT5.h0","NFAT5.h0","NFAT5","NFAT5/MA0606.1/Jaspar"
"NFAT5.e0","NFAT5.e0","NFAT5","NFAT5_jolma_DBD_M185"
"MA0624.3","MA0624.3","NFATC1","JASPAR"
"M02951","M02951","NFATC1","Jolma2010"
"M02952","M02952","NFATC1","Jolma2010"
"M02953","M02953","NFATC1","Jolma2010"
"M03653","M03653","NFATC1","Jolma2013"
"M03654","M03654","NFATC1","Jolma2013"
"M03655","M03655","NFATC1","Jolma2013"
"M05915","M05915","NFATC1","Yin2017"
"M05916","M05916","NFATC1","Yin2017"
"M05917","M05917","NFATC1","Yin2017"
"M05918","M05918","NFATC1","Yin2017"
"M10748","M10748","NFATC1","HOMER"
"NFATC1.h0","NFATC1.h0","NFATC1","NFATC1/MA0624.1/Jaspar"
"NFATC1.e0","NFATC1.e0","NFATC1","NFATC1_jolma_full_M186"
"NFATC1.e1","NFATC1.e1","NFATC1","NFATC1_jolma_full_M187"
"NFATC1.e2","NFATC1.e2","NFATC1","NFATC1_jolma_full_M188"
"MA0152.3","MA0152.3","NFATC2","JASPAR"
"M01593","M01593","NFATC2","Yin2017b"
"M01594","M01594","NFATC2","Yin2017b"
"M05909","M05909","NFATC2","Yin2017"
"M05910","M05910","NFATC2","Yin2017"
"M05911","M05911","NFATC2","Yin2017"
"M05912","M05912","NFATC2","Yin2017"
"NFATC2.h0","NFATC2.h0","NFATC2","NFATC2/MA0152.1/Jaspar"
"NFATC2.e0","NFATC2.e0","NFATC2","NFATC2_jaspar_MA0152.1"
"M02522","M02522","NFATC3","Zoo_01"
"M05897","M05897","NFATC3","Yin2017"
"M05898","M05898","NFATC3","Yin2017"
"M05899","M05899","NFATC3","Yin2017"
"M05900","M05900","NFATC3","Yin2017"
"M05901","M05901","NFATC3","Yin2017"
"M05902","M05902","NFATC3","Yin2017"
"MA0625.3","MA0625.3","NFATC3","JASPAR"
"NFATC3.h0","NFATC3.h0","NFATC3","NFATC3/MA0625.1/Jaspar"
"M05905","M05905","NFATC4","Yin2017"
"M05906","M05906","NFATC4","Yin2017"
"M05907","M05907","NFATC4","Yin2017"
"M05908","M05908","NFATC4","Yin2017"
"MA1525.3","MA1525.3","NFATC4","JASPAR"
"NFATC4.h0","NFATC4.h0","NFATC4","NFATC4/MA1525.1/Jaspar"
"M03036","M03036","NFE2","Jolma2013"
"M04228","M04228","NFE2","RodriguezMartinez2017"
"M04470","M04470","NFE2","Yin2017"
"M04471","M04471","NFE2","Yin2017"
"M08271","M08271","NFE2","ENCODE"
"M10609","M10609","NFE2","HOMER"
"M11082","M11082","NFE2","Transfac"
"MA0841.2","MA0841.2","NFE2","JASPAR"
"NFE2.h0","NFE2.h0","NFE2","NF-E2(bZIP)/K562-NFE2-ChIP-Seq(GSE31477)/Homer"
"NFE2.h1","NFE2.h1","NFE2","NFE2/MA0841.1/Jaspar"
"NFE2.e0","NFE2.e0","NFE2","NFE2_K562_encode-Snyder_seq_hsa_r1:AligCE#1#Intergenic"
"NFE2.e1","NFE2.e1","NFE2","NFE2_GM12878_encode-Snyder_seq_hsa_H-230_r1:MDscan#3#Intergenic"
"NFE2.e2","NFE2.e2","NFE2","NFE2_GM12878_encode-Snyder_seq_hsa_H-230_r1:AligCE#2#Intergenic"
"NFE2.e3","NFE2.e3","NFE2","NFE2_K562_encode-Snyder_seq_hsa_r1:AligCE#3#Intergenic"
"NFE2.e4","NFE2.e4","NFE2","NFE2_1"
"NFE2.e5","NFE2.e5","NFE2","NFE2_2"
"M04212","M04212","NFE2L1","RodriguezMartinez2017"
"M11049","M11049","NFE2L1","Transfac"
"NFE2L1.h0","NFE2L1.h0","NFE2L1","NFE2L1/MA0089.2/Jaspar"
"NFE2L1.e0","NFE2L1.e0","NFE2L1","TCF11_transfac_M00285"
"NFE2L1--MAFG.e0","NFE2L1--MAFG.e0","NFE2L1--MAFG","TCF11:MafG_transfac_M00284"
"NFE2L1--MAFG.e1","NFE2L1--MAFG.e1","NFE2L1--MAFG","NFE2L1::MafG_jaspar_MA0089.1"
"MA0150.3","MA0150.3","NFE2L2","JASPAR"
"Nfe2l2.h0","Nfe2l2.h0","NFE2L2","Nfe2l2/MA0150.2/Jaspar"
"NFE2L2.h0","NFE2L2.h0","NFE2L2","NFE2L2(bZIP)/HepG2-NFE2L2-ChIP-Seq(Encode)/Homer"
"NFE2L2.h1","NFE2L2.h1","NFE2L2","Nrf2(bZIP)/Lymphoblast-Nrf2-ChIP-Seq(GSE37589)/Homer"
"NFE2L2.e0","NFE2L2.e0","NFE2L2","Nrf-2_transfac_M00108"
"NFE2L2.e1","NFE2L2.e1","NFE2L2","Nrf-2_transfac_M00821"
"NFE2L2.e2","NFE2L2.e2","NFE2L2","NFE2L2_jaspar_MA0150.1"
"M03684","M03684","NFIA","Jolma2013"
"M03685","M03685","NFIA","Jolma2013"
"MA0670.2","MA0670.2","NFIA","JASPAR"
"NFIA.h0","NFIA.h0","NFIA","NFIA/MA0670.1/Jaspar"
"NFIA.e0","NFIA.e0","NFIA","NFIA_jolma_full_M191"
"M03683","M03683","NFIB","Jolma2013"
"M05951","M05951","NFIB","Yin2017"
"M05952","M05952","NFIB","Yin2017"
"MA1643.2","MA1643.2","NFIB","JASPAR"
"NFIB.h0","NFIB.h0","NFIB","NFIB/MA1643.1/Jaspar"
"NFIB.e0","NFIB.e0","NFIB","NFIB_jolma_full_M192"
"M05949","M05949","NFIC","Yin2017"
"M05950","M05950","NFIC","Yin2017"
"M10758","M10758","NFIC","HOMER"
"M10759","M10759","NFIC","HOMER"
"MA0161.3","MA0161.3","NFIC","JASPAR"
"MA1527.2","MA1527.2","NFIC","JASPAR"
"NFIC.h0","NFIC.h0","NFIC","NFIC/MA0161.2/Jaspar"
"NFIC.h1","NFIC.h1","NFIC","NFIC(var.2)/MA1527.1/Jaspar"
"NFIC.e0","NFIC.e0","NFIC","myogenin-/-NF-1_transfac_M00056"
"NFIC.e1","NFIC.e1","NFIC","NF-1_transfac_M00193"
"NFIC.e2","NFIC.e2","NFIC","NF-1_transfac_M00806"
"NFIC.e3","NFIC.e3","NFIC","NFIC_jaspar_MA0161.1"
"MA0119.1","MA0119.1","NFIC--TLX1","JASPAR"
"NFIC--TLX1.h0","NFIC--TLX1.h0","NFIC--TLX1","NFIC::TLX1/MA0119.1/Jaspar"
"M03052","M03052","NFIL3","Jolma2013"
"M04238","M04238","NFIL3","RodriguezMartinez2017"
"M11105","M11105","NFIL3","Transfac"
"MA0025.3","MA0025.3","NFIL3","JASPAR"
"NFIL3.h0","NFIL3.h0","NFIL3","NFIL3(bZIP)/HepG2-NFIL3-ChIP-Seq(Encode)/Homer"
"NFIL3.h1","NFIL3.h1","NFIL3","NFIL3/MA0025.2/Jaspar"
"NFIL3.e0","NFIL3.e0","NFIL3","E4BP4_transfac_M00045"
"NFIL3.e1","NFIL3.e1","NFIL3","NFIL3_jaspar_MA0025.1"
"NFIL3.e2","NFIL3.e2","NFIL3","NFIL3_jolma_DBD_M392"
"M04172","M04172","NFIX","Nitta2015"
"M03679","M03679","NFIX","Jolma2013"
"M03680","M03680","NFIX","Jolma2013"
"M03681","M03681","NFIX","Jolma2013"
"M03682","M03682","NFIX","Jolma2013"
"M05945","M05945","NFIX","Yin2017"
"M05946","M05946","NFIX","Yin2017"
"MA0671.2","MA0671.2","NFIX","JASPAR"
"MA1528.2","MA1528.2","NFIX","JASPAR"
"NFIX.h0","NFIX.h0","NFIX","NFIX/MA0671.1/Jaspar"
"NFIX.h1","NFIX.h1","NFIX","NFIX(var.2)/MA1528.1/Jaspar"
"NFIX.e0","NFIX.e0","NFIX","NFIX_jolma_full_M193"
"NFkB1.h0","NFkB1.h0","NFKB1","NFkB-p50,p52(RHD)/Monocyte-p50-ChIP-Chip(Schreiber_et_al.)/Homer"
"M03652","M03652","NFKB1","Jolma2013"
"M06194","M06194","NFKB1","CodeBook"
"M06274","M06274","NFKB1","Isakova2017"
"M12351","M12351","NFKB1","Transfac"
"M12352","M12352","NFKB1","Transfac"
"M12353","M12353","NFKB1","Transfac"
"MA0105.4","MA0105.4","NFKB1","JASPAR"
"NFKB1.h0","NFKB1.h0","NFKB1","NFKB1/MA0105.4/Jaspar"
"NFKB1.e0","NFKB1.e0","NFKB1","NFKB1_GM19193_encode-Snyder_seq_hsa_IgG-rab_r1:MDscan#1#Intergenic"
"NFKB1.e1","NFKB1.e1","NFKB1","NFKB1_GM12878_encode-Snyder_seq_hsa_TNFa_r1:AligCE#2#Intergenic"
"NFKB1.e2","NFKB1.e2","NFKB1","NFKB1_GM10847_encode-Snyder_seq_hsa_IgG-rab_r1:Trawler#1#Intergenic"
"NFKB1.e3","NFKB1.e3","NFKB1","NFKB1_GM18951_encode-Snyder_seq_hsa_IgG-rab_r1:Trawler#2#Intergenic"
"NFKB1.e4","NFKB1.e4","NFKB1","NFKB1_1"
"NFKB1.e5","NFKB1.e5","NFKB1","NFKB_1"
"NFKB1.e6","NFKB1.e6","NFKB1","NFKB_2"
"NFKB1.e7","NFKB1.e7","NFKB1","NFKB_3"
"NFKB1.e8","NFKB1.e8","NFKB1","NFKB_4"
"NFKB1.e9","NFKB1.e9","NFKB1","NFKB_5"
"NFKB1.e10","NFKB1.e10","NFKB1","NFKB1_2"
"NFKB1.e11","NFKB1.e11","NFKB1","NFKB1_3"
"M03650","M03650","NFKB2","Jolma2013"
"M05903","M05903","NFKB2","Yin2017"
"M05904","M05904","NFKB2","Yin2017"
"MA0778.2","MA0778.2","NFKB2","JASPAR"
"NFKB2.h0","NFKB2.h0","NFKB2","NFKB2/MA0778.1/Jaspar"
"NFKB2.e0","NFKB2.e0","NFKB2","NFKB2_1"
"M08594","M08594","NFXL1","FactorBook"
"M08595","M08595","NFXL1","FactorBook"
"M08596","M08596","NFXL1","FactorBook"
"M08597","M08597","NFXL1","FactorBook"
"M08598","M08598","NFXL1","FactorBook"
"M08599","M08599","NFXL1","FactorBook"
"M08600","M08600","NFXL1","FactorBook"
"M08601","M08601","NFXL1","FactorBook"
"M11528","M11528","NFYA","Transfac"
"MA0060.4","MA0060.4","NFYA","JASPAR"
"NFYA.h0","NFYA.h0","NFYA","NFYA/MA0060.3/Jaspar"
"NFYA.e0","NFYA.e0","NFYA","NFYA_K562_encode-Snyder_seq_hsa_r1:MEME#2#Intergenic"
"NFYA.e1","NFYA.e1","NFYA","NFY_1"
"NFYA.e2","NFYA.e2","NFYA","NFY_2"
"NFYA.e3","NFYA.e3","NFYA","NFY_3"
"NFYA.e4","NFYA.e4","NFYA","NFY_4"
"NFYA.e5","NFYA.e5","NFYA","NFY_5"
"NFYA.e6","NFYA.e6","NFYA","NFYA_1"
"MA0502.3","MA0502.3","NFYB","JASPAR"
"NFYB.h0","NFYB.h0","NFYB","NFYB/MA0502.2/Jaspar"
"MA1644.2","MA1644.2","NFYC","JASPAR"
"NFYC.h0","NFYC.h0","NFYC","NFYC/MA1644.1/Jaspar"
"M03000","M03000","NHLH1","Jolma2013"
"M03001","M03001","NHLH1","Jolma2013"
"M04366","M04366","NHLH1","Yin2017"
"M04367","M04367","NHLH1","Yin2017"
"M04368","M04368","NHLH1","Yin2017"
"M04369","M04369","NHLH1","Yin2017"
"M10998","M10998","NHLH1","Transfac"
"M10999","M10999","NHLH1","Transfac"
"MA0048.3","MA0048.3","NHLH1","JASPAR"
"NHLH1.h0","NHLH1.h0","NHLH1","NHLH1/MA0048.2/Jaspar"
"NHLH1.e0","NHLH1.e0","NHLH1","HEN1_transfac_M00058"
"NHLH1.e1","NHLH1.e1","NHLH1","HEN1_transfac_M00068"
"NHLH1.e2","NHLH1.e2","NHLH1","NHLH1_jaspar_MA0048.1"
"NHLH1.e3","NHLH1.e3","NHLH1","NHLH1_jolma_DBD_M335"
"NHLH1.e4","NHLH1.e4","NHLH1","NHLH1_jolma_full_M336"
"M00827","M00827","NHLH2","DREAM_contest"
"M04381","M04381","NHLH2","Yin2017"
"M04382","M04382","NHLH2","Yin2017"
"MA1529.2","MA1529.2","NHLH2","JASPAR"
"NHLH2.h0","NHLH2.h0","NHLH2","NHLH2/MA1529.1/Jaspar"
"Nkx1-1.h0","Nkx1-1.h0","NKX1-1","PH0109.1_Nkx1-1/Jaspar"
"NKX1-1.e0","NKX1-1.e0","NKX1-1","Nkx1-1_bulyk_cell08-3856.3"
"Nkx1-2.h0","Nkx1-2.h0","NKX1-2","PH0110.1_Nkx1-2/Jaspar"
"M02194","M02194","NKX1-2","Zoo_01"
"M03458","M03458","NKX1-2","Jolma2013"
"M03485","M03485","NKX1-2","Jolma2013"
"M03981","M03981","NKX1-2","Nitta2015"
"M03982","M03982","NKX1-2","Nitta2015"
"M06613","M06613","NKX1-2","FlyFactorSurvey"
"M11927","M11927","NKX1-2","Transfac"
"NKX1-2.e0","NKX1-2.e0","NKX1-2","Nkx1-2_bulyk_cell08-3214.1"
"MA1994.2","MA1994.2","NKX2-1","JASPAR"
"Nkx2-1.h0","Nkx2-1.h0","NKX2-1","Nkx2.1(Homeobox)/LungAC-Nkx2.1-ChIP-Seq(GSE43252)/Homer"
